timestamp,filename,out_path,vertices,angle_deg,curvature_level,orientation_deg,smooth_strength,img_size,stroke,margin
2026-01-12T16:21:49,stim_nv3_ang45_s0.8_rot-135.png,MainExp/images/stim_nv3_ang45_s0.8_rot-135.png,3,45,45,1,-135,0.8,512,9,40
2026-01-12T16:21:49,stim_nv3_ang45_s1.4_rot+000.png,MainExp/images/stim_nv3_ang45_s1.4_rot+000.png,3,45,45,2,0,1.4,512,9,40
2026-01-12T16:21:49,stim_nv3_ang45_s1.4_rot+045.png,MainExp/images/stim_nv3_ang45_s1.4_rot+045.png,3,45,45,2,45,1.4,512,9,40
2026-01-12T16:21:50,stim_nv3_ang45_s1.4_rot+090.png,MainExp/images/stim_nv3_ang45_s1.4_rot+090.png,3,45,45,2,90,1.4,512,9,40
2026-01-12T16:21:50,stim_nv3_ang45_s1.4_rot+135.png,MainExp/images/stim_nv3_ang45_s1.4_rot+135.png,3,45,45,2,135,1.4,512,9,40
2026-01-12T16:21:50,stim_nv3_ang45_s1.4_rot+180.png,MainExp/images/stim_nv3_ang45_s1.4_rot+180.png,3,45,45,2,180,1.4,512,9,40
2026-01-12T16:21:50,stim_nv3_ang45_s1.4_rot-045.png,MainExp/images/stim_nv3_ang45_s1.4_rot-045.png,3,45,45,2,-45,1.4,512,9,40
2026-01-12T16:21:51,stim_nv3_ang45_s1.4_rot-090.png,MainExp/images/stim_nv3_ang45_s1.4_rot-090.png,3,45,45,2,-90,1.4,512,9,40
2026-01-12T16:21:51,stim_nv3_ang45_s1.4_rot-135.png,MainExp/images/stim_nv3_ang45_s1.4_rot-135.png,3,45,45,2,-135,1.4,512,9,40
2026-01-12T16:21:51,stim_nv3_ang90_s0.0_rot+000.png,MainExp/images/stim_nv3_ang90_s0.0_rot+000.png,3,90,90,0,0,0.0,512,9,40
2026-01-12T16:21:51,stim_nv3_ang90_s0.0_rot+045.png,MainExp/images/stim_nv3_ang90_s0.0_rot+045.png,3,90,90,0,45,0.0,512,9,40
2026-01-12T16:21:51,stim_nv3_ang90_s0.0_rot+090.png,MainExp/images/stim_nv3_ang90_s0.0_rot+090.png,3,90,90,0,90,0.0,512,9,40
2026-01-12T16:21:52,stim_nv3_ang90_s0.0_rot+135.png,MainExp/images/stim_nv3_ang90_s0.0_rot+135.png,3,90,90,0,135,0.0,512,9,40
2026-01-12T16:21:52,stim_nv3_ang90_s0.0_rot+180.png,MainExp/images/stim_nv3_ang90_s0.0_rot+180.png,3,90,90,0,180,0.0,512,9,40
2026-01-12T16:21:52,stim_nv3_ang90_s0.0_rot-045.png,MainExp/images/stim_nv3_ang90_s0.0_rot-045.png,3,90,90,0,-45,0.0,512,9,40
2026-01-12T16:21:52,stim_nv3_ang90_s0.0_rot-090.png,MainExp/images/stim_nv3_ang90_s0.0_rot-090.png,3,90,90,0,-90,0.0,512,9,40
2026-01-12T16:21:52,stim_nv3_ang90_s0.0_rot-135.png,MainExp/images/stim_nv3_ang90_s0.0_rot-135.png,3,90,90,0,-135,0.0,512,9,40
2026-01-12T16:21:52,stim_nv3_ang90_s0.8_rot+000.png,MainExp/images/stim_nv3_ang90_s0.8_rot+000.png,3,90,90,1,0,0.8,512,9,40
2026-01-12T16:21:53,stim_nv3_ang90_s0.8_rot+045.png,MainExp/images/stim_nv3_ang90_s0.8_rot+045.png,3,90,90,1,45,0.8,512,9,40
2026-01-12T16:21:53,stim_nv3_ang90_s0.8_rot+090.png,MainExp/images/stim_nv3_ang90_s0.8_rot+090.png,3,90,90,1,90,0.8,512,9,40
2026-01-12T16:21:53,stim_nv3_ang90_s0.8_rot+135.png,MainExp/images/stim_nv3_ang90_s0.8_rot+135.png,3,90,90,1,135,0.8,512,9,40
2026-01-12T16:21:53,stim_nv3_ang90_s0.8_rot+180.png,MainExp/images/stim_nv3_ang90_s0.8_rot+180.png,3,90,90,1,180,0.8,512,9,40
2026-01-12T16:21:53,stim_nv3_ang90_s0.8_rot-045.png,MainExp/images/stim_nv3_ang90_s0.8_rot-045.png,3,90,90,1,-45,0.8,512,9,40
2026-01-12T16:21:54,stim_nv3_ang90_s0.8_rot-090.png,MainExp/images/stim_nv3_ang90_s0.8_rot-090.png,3,90,90,1,-90,0.8,512,9,40
2026-01-12T16:21:54,stim_nv3_ang90_s0.8_rot-135.png,MainExp/images/stim_nv3_ang90_s0.8_rot-135.png,3,90,90,1,-135,0.8,512,9,40
2026-01-12T16:21:54,stim_nv3_ang90_s1.4_rot+000.png,MainExp/images/stim_nv3_ang90_s1.4_rot+000.png,3,90,90,2,0,1.4,512,9,40
2026-01-12T16:21:54,stim_nv3_ang90_s1.4_rot+045.png,MainExp/images/stim_nv3_ang90_s1.4_rot+045.png,3,90,90,2,45,1.4,512,9,40
2026-01-12T16:21:55,stim_nv3_ang90_s1.4_rot+090.png,MainExp/images/stim_nv3_ang90_s1.4_rot+090.png,3,90,90,2,90,1.4,512,9,40
2026-01-12T16:21:55,stim_nv3_ang90_s1.4_rot+135.png,MainExp/images/stim_nv3_ang90_s1.4_rot+135.png,3,90,90,2,135,1.4,512,9,40
2026-01-12T16:21:55,stim_nv3_ang90_s1.4_rot+180.png,MainExp/images/stim_nv3_ang90_s1.4_rot+180.png,3,90,90,2,180,1.4,512,9,40
2026-01-12T16:21:55,stim_nv3_ang90_s1.4_rot-045.png,MainExp/images/stim_nv3_ang90_s1.4_rot-045.png,3,90,90,2,-45,1.4,512,9,40
2026-01-12T16:21:55,stim_nv3_ang90_s1.4_rot-090.png,MainExp/images/stim_nv3_ang90_s1.4_rot-090.png,3,90,90,2,-90,1.4,512,9,40
2026-01-12T16:21:56,stim_nv3_ang90_s1.4_rot-135.png,MainExp/images/stim_nv3_ang90_s1.4_rot-135.png,3,90,90,2,-135,1.4,512,9,40
2026-01-12T16:21:56,stim_nv3_ang135_s0.0_rot+000.png,MainExp/images/stim_nv3_ang135_s0.0_rot+000.png,3,135,135,0,0,0.0,512,9,40
2026-01-12T16:21:56,stim_nv3_ang135_s0.0_rot+045.png,MainExp/images/stim_nv3_ang135_s0.0_rot+045.png,3,135,135,0,45,0.0,512,9,40
2026-01-12T16:21:56,stim_nv3_ang135_s0.0_rot+090.png,MainExp/images/stim_nv3_ang135_s0.0_rot+090.png,3,135,135,0,90,0.0,512,9,40
2026-01-12T16:21:56,stim_nv3_ang135_s0.0_rot+135.png,MainExp/images/stim_nv3_ang135_s0.0_rot+135.png,3,135,135,0,135,0.0,512,9,40
2026-01-12T16:21:56,stim_nv3_ang135_s0.0_rot+180.png,MainExp/images/stim_nv3_ang135_s0.0_rot+180.png,3,135,135,0,180,0.0,512,9,40
2026-01-12T16:21:57,stim_nv3_ang135_s0.0_rot-045.png,MainExp/images/stim_nv3_ang135_s0.0_rot-045.png,3,135,135,0,-45,0.0,512,9,40
2026-01-12T16:21:57,stim_nv3_ang135_s0.0_rot-090.png,MainExp/images/stim_nv3_ang135_s0.0_rot-090.png,3,135,135,0,-90,0.0,512,9,40
2026-01-12T16:21:57,stim_nv3_ang135_s0.0_rot-135.png,MainExp/images/stim_nv3_ang135_s0.0_rot-135.png,3,135,135,0,-135,0.0,512,9,40
2026-01-12T16:21:57,stim_nv3_ang135_s0.8_rot+000.png,MainExp/images/stim_nv3_ang135_s0.8_rot+000.png,3,135,135,1,0,0.8,512,9,40
2026-01-12T16:21:57,stim_nv3_ang135_s0.8_rot+045.png,MainExp/images/stim_nv3_ang135_s0.8_rot+045.png,3,135,135,1,45,0.8,512,9,40
2026-01-12T16:21:58,stim_nv3_ang135_s0.8_rot+090.png,MainExp/images/stim_nv3_ang135_s0.8_rot+090.png,3,135,135,1,90,0.8,512,9,40
2026-01-12T16:21:58,stim_nv3_ang135_s0.8_rot+135.png,MainExp/images/stim_nv3_ang135_s0.8_rot+135.png,3,135,135,1,135,0.8,512,9,40
2026-01-12T16:21:58,stim_nv3_ang135_s0.8_rot+180.png,MainExp/images/stim_nv3_ang135_s0.8_rot+180.png,3,135,135,1,180,0.8,512,9,40
2026-01-12T16:21:58,stim_nv3_ang135_s0.8_rot-045.png,MainExp/images/stim_nv3_ang135_s0.8_rot-045.png,3,135,135,1,-45,0.8,512,9,40
2026-01-12T16:21:58,stim_nv3_ang135_s0.8_rot-090.png,MainExp/images/stim_nv3_ang135_s0.8_rot-090.png,3,135,135,1,-90,0.8,512,9,40
2026-01-12T16:21:59,stim_nv3_ang135_s0.8_rot-135.png,MainExp/images/stim_nv3_ang135_s0.8_rot-135.png,3,135,135,1,-135,0.8,512,9,40
2026-01-12T16:21:59,stim_nv3_ang135_s1.4_rot+000.png,MainExp/images/stim_nv3_ang135_s1.4_rot+000.png,3,135,135,2,0,1.4,512,9,40
2026-01-12T16:21:59,stim_nv3_ang135_s1.4_rot+045.png,MainExp/images/stim_nv3_ang135_s1.4_rot+045.png,3,135,135,2,45,1.4,512,9,40
2026-01-12T16:21:59,stim_nv3_ang135_s1.4_rot+090.png,MainExp/images/stim_nv3_ang135_s1.4_rot+090.png,3,135,135,2,90,1.4,512,9,40
2026-01-12T16:22:00,stim_nv3_ang135_s1.4_rot+135.png,MainExp/images/stim_nv3_ang135_s1.4_rot+135.png,3,135,135,2,135,1.4,512,9,40
2026-01-12T16:22:00,stim_nv3_ang135_s1.4_rot+180.png,MainExp/images/stim_nv3_ang135_s1.4_rot+180.png,3,135,135,2,180,1.4,512,9,40
2026-01-12T16:22:00,stim_nv3_ang135_s1.4_rot-045.png,MainExp/images/stim_nv3_ang135_s1.4_rot-045.png,3,135,135,2,-45,1.4,512,9,40
2026-01-12T16:22:00,stim_nv3_ang135_s1.4_rot-090.png,MainExp/images/stim_nv3_ang135_s1.4_rot-090.png,3,135,135,2,-90,1.4,512,9,40
2026-01-12T16:22:00,stim_nv3_ang135_s1.4_rot-135.png,MainExp/images/stim_nv3_ang135_s1.4_rot-135.png,3,135,135,2,-135,1.4,512,9,40
